,TESTO,EMOZIONI
265,RIKI HAI SPACCATO HO PIANTO TUTTO IL TEMPO SEI STATO IL MIGLIORE,TRUST - SENTIMENTALITY
266,San Remo è tuo...con noi sei al sicuro❤,LOVE
267,"Sbaglio o ieri sera l'effetto del vocoder era più forte?? Preferisco come qui nel video. Comunque ci tengo a fare un commento di complimenti perché, seppur non condividendo la tua strada artistica, mi hai sorpreso ieri sera. Mi aspettavo una mezza tamarrata e invece sono rimasto spiazzato. Agitazione visibilissima, brano ed esibizione che hanno spiazzato in maniera positiva. Bravo Riki!",TRUST - SURPRISE
268,"Scrivo solo per dire che non guardo Sanremo ne la televisione  in generale . Ho sentito questa canzone in radio pochi giorni fa e mi è rimasta talmente tanto in testa che sono venuto a cercare chi fosse il cantante e come si intitolasse questa canzone . Ho letto i commenti ed ho visto che questo cantante e questa canzone non hanno ricevuto i meriti dovuti a Sanremo .Spero che non si abbatta perchè la canzone è bellissima ed arriva dritta la cuore , questa è l'unica vera vittoria .",TRUST - DISAPPOINTMENT
269,Se questo testo lo avesse cantato Tiziano ferro stavamo gridando al miracolo,DISAPPOINTMENT
270,Secondo me doveva essere primo,TRUST - DISAPPOINTMENT
271,"Sei bellissimo, amo tanto questa bellissima canzone, sei il n 1 riki ❤❤❤",LOVE
272,Sei bellissimo.. Sposamiiii❤️❤️❤️❤️,LOVE
273,Sei fantastico mi mancava la tua voce.C'è una persona molto importante per me ma non capisce che ci tengo a lui e lo amo e sono da quasi 6 anni che gli dico ti amo,LOVE
274,Sei fantastico riki nn mi deludi mai ieri mi hai fatto emozionare ♥️ bravissimo sei il migliore,LOVE
275,"Sei speciale. Ieri sera mi hai fatto piangere,avevo i brividi. Questa canzone è bellissima,in tutti i suoi particolari. Hai spaccato di brutto,davvero.♥️",LOVE - SENTIMENTALITY
276,Sei stato bravissimo secondo me Qualcosa non torna nella classifica di Sanremo,TRUST - DISAPPOINTMENT
277,Sei un campione❤,LOVE
278,Sei unico e amo sta canzone❤️,LOVE
279,Sempre bellissimo.. Canzone meravigliosa ❤️,LOVE
280,"Sono rimasta male, quando tu sei arrivato ultimo perché tu sei stato molto bravo.",TRUST - DISAPPOINTMENT
281,"Stupenda come sempre... non deludi mai Ric ❤ Continua cosi, senza farti ostacolare da niente e nessuno ❤",LOVE
282,Stupendaa Hai spaccato ieri sei fantastico sono orgogliosa di te ❤️❤️ti amo ❤️❤️e ieri ho pianto tutto il tempo sentirti cantare è sempre un emozione enorme ❤️ti voglio bene Idolo Mio ❤️❤️,LOVE
283,Tra le più belle che ho sentito fino ad ora,TRUST
284,Trattieni i respiri e li aggiusti in fiato❤,LOVE
285,Ultima questa canzone ... ma stiamo scherzando???,TRUST - ANGER
286,una canzone che ti prende la testa e colpisce il cuore BRAVISSIMO,TRUST
287,Una parola:emozione,LOVE
288,"Una volta che ne parlo bene, gli altri lo criticano... Meritava una posizione migliore a Sanremo 2020!",TRUST - DISAPPOINTMENT
289,"Vedevo le tue mani tremare, tremavo anche io. Il posto in classifica poco conta, per noi hai già vinto tutto.❤️",LOVE
290,Ricordati che anche se la classifica non é andata come volevi la canzone spaccherà tutto perché merita❤,LOVE
291,Dovevi vincere Riki❤❤non ti preoccupare ❤ vinceremo ancora,LOVE - OPTIMISM
292,Non ci hai mai deluso...sei il migliore ric❤️,LOVE
293,Ma come fa al 11esimo posto sta canzone! Cioè quel idiota di achille sta più in alto! Vb aveva ragione ultimo la classifica di Sanremo è truccata!,TRUST - ANGER
294,La canzone è una bomba. Complimenti,LOVE
295,l'ultimo osto non lo meritavi... ma ti rifarai fuori da sanremo. complimenti per la dolcezza che esprimi sempre nelle tue canzoni... <3,LOVE
296,La Canzone e bellissima e il video e bellissimo e tu Riki sei bellissimo buona fortuna per Sanremo ciao,TRUST
297,Meraviglia come al solito Sanremo si rivela quello che è......meritava di più questa canzone grande riki,TRUST - SADNESS
298,Il gesto che ha fatto è stato un gesto che nessuna persona avrebbe fatto! Meritavi qualcosa di più.,TRUST - DISAPPOINTMENT
299,"Sanremo classica mafia mediatica paraculati senza storia,falliti che si definiscono cantanti, il classico palcoscenico della sinistra. LE PERSONE COME TE NON DEVONO MOLLARE!!! GRANDISSIMA CANZONE",TRUST - ANGER
300,"Bel pezzo davvero, complimenti",LOVE
301,"Ci sono due modi di lasciare le proprie tracce: Camminando o calpestando. È una questione di scelte. Se le tue illusioni si spezzano, se il negativo è continuativo e se tutto ciò è alla base di un lamento allora Risvegliati e muoviti che le cose possono realmente cambiare.. e se non cambiano è perché il motivo non era una motivazione (e non sono sinonimi) Per la canzone: bella comunque..",TRUST
302,"io super innamorata della tua voce che tremava e dei tuoi occhioni lucidi 🥰❤️ la canzone è bellissima, complimenti veramente, sei riuscito a farmi emozionare !",LOVE
303,"Non mi sei mai piaciuto, ma devo ammettere che hai tirato fuori un pezzo Bellissimo. Tra le mie preferenze del festival. Bravo Riccardo",TRUST - SURPRISE
304,Bellissima canzone,TRUST
305,Dopo la tua esibizione continuavo a tremare,SENTIMENTALITY
306,"Non capisco quelli che lo criticano... Lui è bravissimo lo seguo dai tempi di Amici e questa canzone è davvero piena di significato, BRAVO RIKI",TRUST - DISAPPOINTMENT
307,È una canzone molto bella caro riky e tu emozioni sempre ma non mi sembra una canzone x il festival che non guardo😄ma ti seguo su Youtube,TRUST - SENTIMENTALITY
308,"Più la ascolto, più me ne innamoro, forza Riki💪♥️, stai spaccando💯💕",LOVE
309,Mettete 9000 mi piace,DELIGHT
310,Tutti con dei pregiudizi su di te. Ovviamente le persone più talentuose e umili ci rimettono sempre. A Sanremo si sapeva già chi avrebbe vinto dall'inizio...Tu non ti arrendere continua la tua strada perché la tua musica arriva dritta al cuore e pensa a Vasco che arrivò ultimo...Non mollare mai quel microfono perché di ragazzi bravi come te ce ne sono pochi purtroppo ❤,LOVE - DISAPPOINTMENT
311,Un'emozione unica ❤️ L' ADORO,LOVE - SENTIMENTALITY
312,"Podio forse sarebbe stato esagerato, ma ultimo mi sembra esagerato comunque...",SURPRISE
313,"Sto tremando e ho i brividi, amore come sempre hai spaccato❤️ ❤️",LOVE - SENTIMENTALITY
314,E fu cosi che piansi di nuovo...❤,LOVE - SENTIMENTALITY
315,Secondo me non meritava per niente l’ultimo posto,TRUST - DISAPPOINTMENT
316,Ma poi perché ultima?? È bellissima❤️❤️❤️,LOVE - DISAPPOINTMENT
317,"Wow, è stupenda.",TRUST - DELIGHT
318,"Riki è una canzone bellissima,mi sono venute le lacrime agli occhi...ti adoro ❤️",LOVE - SENTIMENTALITY
319,"Pezzo bellissimo. Lo ascolto e riascolto.. non ci avrei scommesso na lira. Uno dei migliori. Certo qualche euro in più per un video ci stava, ma capisco il senso del video sottotitolato.",TRUST - SURPRISE
320,Spesso è alla lunga che si vede il vero vincitore di Sanremo. Questa è una di quelle,TRUST
321,❤ grande Rikiiiii ❤ che emozioni che da questo pezzo ❤,LOVE - SENTIMENTALITY
322,Una goccia di talento in un oceano di vanità. Canzone banale e noiosa. Persino la Pavone era più 'avanti'!,DISGUST
323,Ti ho voluto bene dopo amici ti voglio bene ora e ti vorrò sempre bene,LOVE
324,Questo pezzo è bellissimo se osse stato per me avrebbe vinto sanremo ❤,LOVE
325,"Top 5 personale: Gabbani, Riki, Bugo&Morgan, Elettra, Achille Lauro.",LOVE
326,Grande rikii video semplice a primo impatto ma è proprio d impatto in realtà bellissim💣,TRUST
327,"Non ti meritavi assolutamente il fondo della classifica a Sanremo, ma tranquillo che sarai in cima alle classifiche delle vendite come sempre❤",LOVE - DISAPPOINTMENT
328,Doveva vincere questa canzone.....é bellissima!!!!,TRUST - DISAPPOINTMENT
329,il mio orgoglio.❤,LOVE
330,Che bella Riki è dolcissima da brividi ... grande Rikiiiii come sempre ❤ ✌,LOVE
331,"Sei stato bravissimo a Sanremo, io ti avrei messo al primo posto ♥️♥️♥️",LOVE
332,"È una canzone magnifica,sono fiera di te,e so che adesso sei tornato, più forte di prima, e per restare.",LOVE
333,"Bella canzone,bella presenza...ultimo posto immeritatissimo",TRUST - DISAPPOINTMENT
334,La classifica è ingiusta,DISAPPOINTMENT
335,Veramente bella... brividi...,SENTIMENTALITY
336,Mi fai sempre emozionare.Sei bravissimo ❤,LOVE - SENTIMENTALITY
337,"Questa canzone e gia entrata in testa,e stupende,Grazie sei grande. ciao dalla Germania",TRUST
338,Questa canzone meritava molto di più ma l’importante è aver fatto emozionare le persone e tu ci sei riuscito ❤️,LOVE - DISAPPOINTMENT
339,Mi fai sempre piangere con le tue canzoni ❤️,LOVE - SENTIMENTALITY
340,Grande Riki Sempre Bravissimo,TRUST
341,L’importante non è vincere ma emozionarsi,SENTIMENTALITY
342,Ha una voce in questa melodia fastidiosamente orecchiabile,TRUST - DISGUST
343,"Canzone molto bella, non si meritava l'ultimo posto",TRUST - DISAPPOINTMENT
344,Bellissima voce,TRUST
345,Canzone bellissima ❤. Tifo per te Riki,LOVE
346,Bellissima canzone amoreee,TRUST
347,"Ogni giorno che passa l'amore e l'orgoglio che provo per te aumentano sempre di più, tu sei semplicemente indescrivibile, a Sanremo hai spaccato come sempre, la mano tremolante che parla di te e che da sempre è segno, i tuoi occhi lucidi pieni di magia, la magia che crei, tu sei qualcosa di troppo bello per essere vero, e non bello di bellezza estetica, parlo di ogni minima cosa, tu sei 'bellezza'.",LOVE
348,"sono ancora basito da Sanremo, ti ascolto da un sacco perché le tue canzoni mi fanno emozionare e mi piace tantissimo la tua voce. Sei un po' il mio esempio di vita.. Non capisco come la giuria di Sanremo, le persone, non abbiano voluto farti vincere.. Io sono sempre qui ad ascoltarti perché le tue canzoni, solo una tua parola, mi strappano un sorriso, come a Sanremo; non ho mai smesso di tifare per te. Grande riki❤",LOVE - DISAPPOINTMENT
349,"Metti LIKE se merita il podio a Sanremo! ❤ Edit: Un po' lo immaginavo ma è stato sommerso di pregiudizi, Riccardo ha un suo stile e lo seguo fin dai casting di amici e sicuramente il suo bel faccino che inizialmente lo avrà sicuramente aiutato, in questo tipo di manifestazioni lo ha penalizzato, ma io son sicuro che tra tutte quelle persone che hanno parlato male sicuramente qualcuno che si è ricreduto c'è e questa è la vera cosa che conta, l'ultimo posto poco conta, chi è la demoscopica? Ancora devo capirlo... Il bello arriva tra 9 giorni, il 20 marzo esce il nuovo album e sarà, ne sono sicuro, la continuazione del successo che hai avuto e che meriti di continuare ad avere per l'artista che se e che non tutti hanno saputo capire e apprezzare. SPACCA TUTTO RIKI!",TRUST - DISAPPOINTMENT
350,"Gran bel pezzo, bravissimo Riccardo",TRUST
351,Brividi...il ritornello e un continuo piangere. Bravo Ric.,TRUST - SENTIMENTALITY
352,"Mi piace molto Riki e bello e bravo, le canzoni, sue sono tutte bellissime",TRUST
353,È una cazone bellissia e tu ai una foce fantastica❤❤❤❤❤❤❤❤❤❤❤,LOVE
354,Sarebbe stata meglio senza l'effetto robotico... Ha una bella voce dovrebbe valorizzarla,TRUST - DISAPPOINTMENT
355,Emozionante amore mio comunque sia andato tutto amore sei stata eccezionale ho sempre tifato per te ❤️,LOVE - SENTIMENTALITY
356,Adoro è bellissima é meravigliosa ti voglio bene mi manchi tanto ❤,LOVE - SENTIMENTALITY
357,Stupenda la canzone ❤️,TRUST
358,deve vincere lui Riccardo sei stupendo bravissimo tutte sue canzoni sono stupende emozionano,TRUST
359,"Troppo carino questo ragazzo, dovrebbe essere tutta così la generazione di oggi ,non come certi....",TRUST - DISAPPOINTMENT
360,la tua canzone mi fa commuevere peccato che sei arrivato ultimo,TRUST - DISAPPOINTMENT
361,Like chi adora riki,LOVE
362,Non è da ultimo posto,TRUST - DISAPPOINTMENT
363,buondì e dipendenza fu aldilà del risultato sanremese ieri sera hai fatto un figurone compà,TRUST
364,Meritavi di più,TRUST - DISAPPOINTMENT
365,"Una canzone bellissima, più l'ascolto e più mi emoziona non meritava assolutamente l'ultimo posto, l'importante è arrivare al cuore,bravissimo Riki",TRUST - DISAPPOINTMENT
366,Secondo me questa canzone merita molto di più di altre,TRUST
367,"Bellissima, veramente bellissima ❤️",TRUST
368,"È davvero stupenda, ieri sei stato bravissimo, non importa ciò che pensano gli altri, a me ha emozionato tanto. ❤️",LOVE - SENTIMENTALITY
369,sta canzone meritava molto di più,TRUST - DISAPPOINTMENT
370,Bellissima canzone. Non capisco proprio come ha fatto ad arrivare ultima a Sanremo....mistero!!,TRUST - DISAPPOINTMENT
371,"Stupenda...dolcissima come anche la tua voce..non badare alla classifica, le classifiche non contano se tocchi il cuore della gente",TRUST
372,Esiste Achille lauro e riki arriva ultimo? Dietro elettra Lamborghini?,DISAPPOINTMENT
373,X me ha vinto lui❤️ Grande Riki!!,LOVE
374,Questa canzone non merita l'ultimo posto È troppo bella ♥️,LOVE
375,"Ha ragione lui c'è troppa avidità ,egoismo ed ignoranza in giro",DISGUST
376,Quando ti ho visto a Sanremo ero molto contenta e sentirti cantare mi ha fatto venire mille emozioni e mille brividi. Inoltre vedere le tue mani tremare mi ha fatto venire la pelle d'oca. Non importa se la canzone è arrivata ultima perché per noi Rikers tu e la tua canzone avete vinto.❤️,LOVE
377,"Bravissimo, bravo!",TRUST
378,Più l’ascolto e più mi piace! Sicuramente merita una buona posizione anche al festival!,DELIGHT
379,Se mettete a velocità X2 la canzone è carina. A velocità normale è la classica cantilena.,TRUST - DISGUST
380,"Canzone emozionante.... Ma verrà apprezzata man mano come succede ai grandi talenti , Riki è uno di questi. Ma poi chi le ha mai capite le giurie ??.",SENTIMENTALITY - ANGER
381,La piu' bellaaaaaaaaaaa del Festival ✌,TRUST
382,Emozione pura❤️,LOVE - SENTIMENTALITY
383,COME HA FATTO AD ARRIVARE ULTIMO STO CAPOLAVORO,TRUST - DISAPPOINTMENT
384,Sei il mio tutto.,LOVE
385,SUPER BELLA!,TRUST
386,Bellissima bravo continua così,TRUST
387,"Gli anni passano ma i pregiudizi a sanremo nn finiscono..Canzone bella,intensa cantata da un riki obiettivamente cresciuto.. Non gli verrà facile scrollarsi da dosso la nomea del bello uscito da un talent..in bocca al lupo cucciolo",TRUST
388,Peccato che quest'anno i duetti erano sulle cover storiche e non sulle canzoni in gara: secondo me togliendo effetti artificiali e giocando su un adattamento che preveda giochi di voce maschile e femminile sarebbe stato una bomba . Il testo ti penetra il cuore e te lo lacera pur descrivendo minuziosamente con poche scalpellate una delle fasi più brutte che l'amore attraversa e che tutti prima o poi provano. Grazie per questa canzone.,TRUST - SENTIMENTALITY
389,"Chi ama Riki metta like, lo amooo❤️❤️",LOVE
390,Questa canzone mi è arrivata dritta al cuore. Ti voglio un mondo di bene sei veramente speciale non vedo ľora di rivederti❤❤,LOVE
391,Attenzione!!!!!! Questa canzone provoca dipendenza patologica(talmente è bella)ed è peggio della droga mettete un Like se questa canzone è bellissima,LOVE
392,"E c’è chi dice che questa canzone è sopravvalutata. Una canzone d’amore completamente diversa dalle altre, semplice ma intensa, con una melodia sublime. Ci vuole coraggio per parlarne in negativo. Gabbani è uno di quelli che nei cambiamenti rimane sempre sé stesso. Chapeau",LOVE
393,Sei un cantante favoloso GRANDE canzone MERAVIGLIOSA,LOVE
394,dovevi vincere te a sarremo,TRUST - DISAPPOINTMENT
395,Emozioni 100%canzone stupenda Francesco sei mitico,TRUST - SENTIMENTALITY
396,"Io ho una certa età (più o meno settanta) ed ascolto musica soprattutto classica. Dico grazie a Gabbani perché questa è musica che piacerà per sempre, anche fra secoli.",TRUST
397,"Bellissima canzone. Da quando la ascolto mi sono reso conto che la forza, per andare avanti, me la sta dando mia moglie e... viceversa.",TRUST
